Name,Current Club,Position,Age,ca,pa,Nationality,Club,Loan Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off the ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Consistency,Dirtiness,Important Matches,Injury Proneness,Versatility,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out(Tendency),Puching(Tendency),Throwing,Adaptability,Ambition,Controversy,Loyalty,Pressure,Professionalism,Sportsmanship,Temperament,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Reputation,Home Reputation,World Reputation,RCA,D.O.B,International Appearances,International Goal,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Shooting Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Pervis Estupi?án,Brighton,D/WB/M L,25,149,156,"Ecuador,Spain",Brighton,,9,14,12,9,13,9,10,9,14,11,13,12,14,14,7,12,13,14,12,13,13,13,12,10,14,12,14,16,15,12,13,10,16,16,18,13,12,14,12,5,14,2,2,2,1,2,1,2,1,1,2,1,15,9,8,9,12,11,9,14,1,20,11,1,19,1,1,16,1,1,14,1,1,1,175,73,20,8,7450,7450,5750,140,1998/1/21,35,4,12.3,14,15.5,12.7,12.3,13,10,12.8,1.5,14,15.5,12.8,2,1,2,1
Jan Paul van Hecke,Brighton,D C,23,138,156,The Netherlands,Brighton,,4,7,13,6,13,5,15,5,7,15,13,7,17,13,17,13,15,14,14,12,12,16,8,12,6,14,14,13,12,13,14,15,14,13,14,14,13,13,13,4,7,2,3,3,2,3,1,2,2,3,3,1,11,13,5,11,15,16,15,13,1,1,20,11,1,6,10,1,1,1,1,1,1,1,189,78,8,20,6900,6900,5150,137,2000/6/8,0,0,15.3,13.8,12.5,11,8.7,13,15,14,2,13.8,12.5,14,3,2,2.5,1
Tariq Lamptey,Brighton,D/WB RL,22,137,155,"Ghana,England",Brighton,,6,11,14,8,12,6,7,7,6,7,12,9,11,12,10,12,14,13,12,10,11,14,11,8,11,9,12,14,19,16,15,2,8,16,14,6,15,11,14,12,15,4,3,2,1,2,1,3,1,2,3,4,10,10,5,13,15,14,11,14,1,17,1,20,17,20,1,14,1,15,13,1,14,1,164,62,8,20,6850,6850,5500,114,2000/9/30,4,0,9,12.8,17.5,11,10.7,12.7,4.5,12.5,2,12.8,17.5,12.5,2.5,1,3,2.5
Jakub Moder,Brighton,DM/M/AM C,24,135,155,Poland,Brighton,,13,10,11,11,13,13,11,14,7,10,13,12,12,13,9,13,12,13,13,13,13,14,13,11,14,13,14,14,12,11,11,13,13,12,14,13,14,7,13,6,15,4,1,2,3,1,3,2,1,3,1,1,13,14,5,14,10,14,14,12,1,1,1,1,14,1,18,14,20,1,1,17,1,1,188,78,14,20,6750,6750,4750,132,1999/4/7,20,2,11.7,12.3,12,13,12.7,12.3,12,13.2,1.5,12.3,12,13.2,1.5,3,2.5,2
Lewis Dunk,Brighton,D C,31,154,154,England,Brighton,,5,7,9,6,13,9,14,5,6,14,14,10,16,13,13,15,17,15,16,13,16,14,8,16,7,16,15,14,11,11,10,16,13,14,16,14,15,13,15,6,15,2,3,2,1,3,2,3,3,3,1,3,19,14,5,16,9,15,13,11,1,1,20,1,1,1,1,1,1,1,1,1,1,1,191,78,11,20,7700,7700,6250,153,1991/11/21,1,0,15.3,12.8,12.5,11.7,9.3,11.7,15,15.5,3,12.8,12.5,15.5,2.5,1,2.5,2.5
Pascal Gro?,Brighton,DM/AM C,32,148,150,Germany,Brighton,,17,17,12,14,15,14,11,14,6,11,16,14,11,15,13,14,13,15,15,16,16,15,13,14,16,14,15,17,8,12,12,10,17,9,17,11,16,6,15,5,13,3,3,3,2,2,3,1,1,3,1,1,17,13,5,13,12,17,15,14,1,12,1,14,1,14,17,14,15,14,14,20,14,1,181,78,9,20,7400,7400,5750,142,1991/6/15,0,0,12,13,8.5,15,15,14,10.5,14.7,1,13,8.5,14.7,3,2,2.5,2
Benicio Baker-Boaitey,Brighton,AM RL,19,88,150,"England,Ghana",Brighton,,6,8,12,7,10,6,4,9,5,6,9,10,7,12,8,11,9,15,10,9,14,17,11,9,16,9,10,11,12,10,7,4,7,12,6,6,10,5,9,11,10,2,1,3,3,2,3,3,1,1,3,3,9,13,7,11,13,11,12,10,1,1,1,1,1,1,1,12,1,12,20,1,18,1,163,0,20,10,4400,4400,2250,80,2004/1/9,0,0,7.3,7.3,12,9.7,12.7,11.3,4,11.8,2,7.3,12,11.8,2,3,2,3
Luca Barrington,Brighton,AM RL,18,83,150,"England,Scotland",Brighton,,10,11,11,8,12,5,5,9,5,4,12,3,6,11,13,7,7,5,5,6,12,17,13,1,11,3,6,11,13,12,12,4,12,14,10,3,14,13,5,14,11,3,2,4,2,1,1,2,1,1,3,1,8,11,7,11,10,12,9,17,1,1,1,1,1,1,1,14,1,15,20,1,18,1,180,0,12,20,4150,4150,2000,79,2004/12/12,0,0,4.3,9.3,13.5,10.3,8,11.3,4.5,9,1.5,9.3,13.5,9,3,2,2,1
Solly March,Brighton,WB/M/AM RL,29,149,149,England,Brighton,,13,15,15,10,14,13,8,14,4,8,13,10,12,14,9,12,11,13,14,12,15,14,13,8,13,13,16,16,14,13,13,10,12,14,15,10,15,6,15,12,17,3,1,1,2,4,4,2,1,3,3,2,14,13,5,12,14,18,8,13,1,12,1,11,17,17,1,17,11,17,15,14,20,1,181,73,20,8,7450,7450,5750,141,1994/7/20,0,0,11,12.8,14,12.7,12,14.3,9,13.7,1.5,12.8,14,13.7,1,2,3.5,3
Adam Webster,Brighton,D C,28,145,145,England,Brighton,,5,6,13,6,13,5,14,7,6,14,14,7,15,13,12,14,14,14,14,13,14,14,7,14,8,14,13,14,13,11,10,15,13,15,14,13,14,8,15,13,10,3,4,2,1,2,1,1,3,3,1,1,12,12,3,13,12,13,11,13,1,1,20,11,1,1,1,1,1,1,1,1,1,1,190,77,17,20,7250,7250,5800,145,1995/1/4,0,0,14.3,12,14,11.3,9.3,13,14.5,13.8,2,12,14,13.8,3,1,2.5,1
Jo?l Veltman,Brighton,D RC,31,145,145,The Netherlands,Brighton,,7,11,10,8,13,4,14,5,9,14,13,7,16,13,17,15,16,14,16,11,15,16,9,15,11,17,14,14,12,12,11,13,16,12,14,12,16,12,15,12,11,3,3,2,3,4,3,4,2,3,2,2,11,9,4,18,15,18,14,16,1,1,20,19,1,14,10,1,1,10,1,1,1,1,182,73,8,20,7250,7250,6250,144,1992/1/15,28,2,15.7,12.3,12,11,11,12,13.5,15.3,3,12.3,12,15.3,2.5,3,3.5,2.5
Mahmoud Dahoud,Brighton,DM/M C,27,139,145,"Germany,Syria",Brighton,,12,8,15,8,16,11,6,12,4,11,16,8,12,16,14,12,12,16,10,16,12,12,14,7,12,12,13,16,12,15,12,7,11,12,16,10,12,7,12,13,9,3,3,2,2,3,3,3,1,1,2,3,7,12,13,14,12,12,10,9,1,1,1,1,1,1,19,1,20,1,1,14,1,1,178,68,10,20,6950,6950,5950,137,1996/1/1,2,0,11.7,13.3,12,15.3,12,15.7,6.5,11.8,2,13.3,12,11.8,2.5,2,3,3
Igor,Brighton,D LC,25,136,145,Brazil,Brighton,,6,11,11,6,12,6,14,9,12,14,14,7,15,13,15,13,14,12,11,11,12,14,11,8,9,13,14,15,14,12,15,14,15,14,15,15,13,12,10,8,12,3,3,3,1,1,1,4,2,3,4,3,12,14,6,10,10,14,12,12,1,17,20,1,15,1,1,12,1,1,1,1,1,1,185,85,20,10,6800,5250,6000,135,1998/2/7,0,0,14,14.3,14,12,9,12,14,13,3,14.3,14,13,3,1,2,2
Jason Steele,Brighton,GK,32,142,142,England,Brighton,,3,1,1,2,12,6,2,2,3,3,14,6,3,13,9,11,13,15,12,10,14,14,3,14,4,13,15,14,13,13,10,16,10,12,13,11,12,2,8,8,12,12,12,12,3,13,14,13,16,11,6,15,12,13,3,12,13,17,15,19,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,79,14,20,7100,7100,5250,140,1990/8/18,0,0,6.3,11.8,12.5,9,7,8.7,9,13.2,14.5,11.8,12.5,13.2,12,3,12.5,14.5
Louis Flower,Brighton,AM/S RL,18,75,138,"England,Jamaica,Nigeria",Brighton,,9,7,7,9,8,9,10,5,5,7,6,1,7,7,12,11,6,7,8,10,8,4,8,11,10,8,12,14,14,6,10,12,11,13,12,10,10,12,8,6,5,3,1,3,3,3,2,3,1,1,3,2,9,11,5,13,13,12,12,18,1,1,1,1,1,1,1,1,1,1,17,12,15,20,183,76,10,20,3750,3750,1750,70,2004/10/6,0,0,7.3,9.5,13.5,8,8.7,7.3,11,8.2,2,9.5,13.5,8.2,2,3,3,2
Ansu Fati,Brighton,AM/S RL,20,148,180,"Spain,Guinea-Bissau",Futbol Club Barcelona,Brighton,7,13,16,15,15,7,11,14,6,4,12,12,5,16,8,14,11,13,12,14,12,16,18,9,16,5,10,10,16,16,13,9,15,15,11,10,13,5,14,14,15,1,1,2,1,3,2,2,1,3,3,1,15,15,6,14,11,14,15,16,1,1,1,1,1,1,1,10,1,9,20,14,18,19,178,66,14,20,7500,7500,6900,142,37560,9,2,4.666666667,12.5,15.5,14.66666667,14.66666667,15.66666667,10,12.5,1.5,12.5,15.5,12.5,1.5,1,2,1.5
Arijanet Muri?,Burnley,GK,24,128,150,"Kosovo,Montenegro,Switzerland",Burnley,,6,2,1,2,13,8,4,2,1,1,12,4,3,12,16,14,17,12,13,11,12,15,2,7,1,12,12,11,12,12,12,18,14,16,8,13,14,13,11,9,13,16,12,10,5,12,8,14,15,14,12,12,15,13,13,10,13,16,16,10,20,1,1,1,1,1,1,1,1,1,1,1,1,1,198,87,6,20,6400,6500,5000,128,1998/11/7,32,0,5.3,11.3,14,8.3,5,8.7,11,13.8,14.5,11.3,14,13.8,11,5,14,10
Aaron Ramsey,Burnley,M/AM LC,20,125,150,England,Burnley,,10,12,14,12,14,7,6,11,5,8,14,8,8,14,6,13,10,14,13,14,12,13,13,5,12,11,12,11,14,14,14,9,11,14,12,8,8,7,10,11,13,2,3,2,3,3,2,4,1,1,1,1,14,12,14,11,11,10,12,20,1,1,1,1,1,1,1,15,18,1,15,20,1,1,178,0,11,20,6250,6250,3750,125,2003/1/21,0,0,9,12,14,13.7,12.7,14,7.5,12.2,2.5,12,14,12.2,2.5,3,2.5,1.5
Enock Agyei,Burnley,AM RL,18,96,150,"Belgium,Ghana",Burnley,,5,7,14,8,14,5,7,8,6,8,14,7,8,13,5,10,9,8,9,7,10,14,15,7,7,8,9,11,14,14,8,8,12,14,8,8,10,5,5,8,13,1,1,1,1,1,1,2,3,1,2,3,15,9,8,10,11,9,13,17,1,1,1,1,1,1,1,1,1,1,20,1,18,12,172,0,20,7,4150,4150,2500,88,2005/1/13,0,0,8,9.5,14,12,7.7,13.7,7.5,10.2,2.5,9.5,14,10.2,1,1,1,2
Zeki Amdouni,Burnley,AM/S LC,22,135,149,"Switzerland,Türkiye,Tunisia",Burnley,,7,8,15,13,13,9,12,12,4,5,12,14,6,15,9,16,8,14,12,13,14,14,14,7,16,6,13,12,11,13,13,12,13,12,13,12,12,7,12,8,12,1,1,4,2,3,1,2,3,1,2,2,13,13,5,12,14,15,11,15,1,1,1,1,1,1,1,6,4,6,15,20,12,20,185,79,15,20,6750,6950,4850,129,2000/12/4,5,5,5.7,12.8,11.5,13,14.3,14.3,12,12.8,2.5,12.8,11.5,12.8,2.5,2,2,1.5
Jordan Beyer,Burnley,D/WB RC,23,130,146,Germany,Burnley,,4,8,12,6,11,4,13,6,12,14,13,7,16,12,13,13,16,14,13,12,12,13,11,8,11,13,14,12,12,11,15,13,12,14,13,14,12,8,12,11,14,2,2,3,3,2,2,2,3,2,4,1,8,14,7,12,15,14,12,16,1,1,20,17,1,16,10,1,10,1,1,1,1,1,187,80,11,20,6500,6500,4900,129,2000/5/19,0,0,14.3,13.3,13,12,10.3,11.7,13,13.5,2.5,13.3,13,13.5,2.5,3,2,1.5
Jóhann Berg Gu?mundsson,Burnley,M/AM RL,32,125,146,Iceland,Burnley,,12,13,13,11,12,14,10,13,5,7,14,14,7,13,12,13,11,14,11,14,12,14,13,5,12,11,15,15,12,12,13,13,15,12,14,12,11,4,14,13,10,2,3,1,2,4,1,3,1,2,1,3,12,16,4,12,13,16,14,13,1,1,1,1,1,1,1,15,9,19,16,13,20,12,178,79,20,11,6250,7000,5250,125,1990/10/27,86,8,8.3,12.8,12,13.7,12.3,12.7,11.5,12.7,2,12.8,12,12.7,2,2,3,2
Nathan Redmond,Burnley,AM RLC,29,125,145,"England,Jamaica,Republic of Ireland",Burnley,,6,12,16,10,14,6,6,13,4,5,13,10,6,15,12,12,12,14,14,13,13,15,14,4,15,3,12,15,14,15,12,6,14,12,13,10,12,7,12,5,11,1,2,1,3,3,2,1,2,1,3,2,8,13,5,15,12,13,15,14,1,1,1,1,1,1,1,14,1,14,20,15,19,14,173,0,8,20,6250,6700,4950,124,1994/3/6,1,0,4.7,12.5,13,13.3,13,15,6,13,1.5,12.5,13,13,1.5,3,2,2
Hjalmar Ekdal,Burnley,D C,24,124,145,Sweden,Burnley,,6,11,11,6,13,7,12,7,8,12,13,7,14,13,8,14,14,14,14,11,12,15,10,13,9,13,13,13,12,11,12,14,14,13,13,12,15,7,12,8,8,3,1,3,2,4,3,2,1,1,2,2,12,12,2,15,14,16,17,17,1,8,20,14,1,10,14,1,12,1,1,1,1,1,188,80,11,20,6200,6250,3300,124,1998/10/21,6,0,13,12,12.5,11.3,9.7,12.3,13,13.7,1.5,12,12.5,13.7,2,2,3.5,2.5
Han-Noah Massengo,Burnley,DM/M C,22,122,145,"France,Congo,Belgium",Burnley,,9,10,15,7,13,9,10,7,4,11,14,11,14,12,12,14,10,15,10,13,10,13,15,4,14,13,12,15,11,16,14,4,16,13,15,12,10,6,14,6,11,1,1,1,3,2,2,1,3,3,1,3,14,13,7,10,12,13,11,10,1,1,1,1,1,1,18,1,20,1,1,12,1,1,177,66,9,20,6100,6100,3500,122,2001/7/7,0,0,12.7,14.3,12,14,12,13.3,7,11.5,2,14.3,12,11.5,1,3,1.5,2.5
Anass Zaroury,Burnley,AM RL,22,129,144,"Morocco,Belgium",Burnley,,9,13,14,12,14,8,5,11,6,7,13,8,5,15,11,13,14,12,12,11,12,13,16,7,13,8,11,11,15,14,10,9,12,14,11,9,12,10,12,10,12,3,1,3,3,3,2,2,1,2,2,1,14,14,6,12,9,8,10,7,1,1,1,1,1,1,1,13,1,13,20,1,19,8,180,0,15,20,6450,6450,4500,127,2000/11/7,4,0,6.7,11,14.5,13.3,12.3,14.3,7,12.5,1.5,11,14.5,12.5,2,3,3,1.5
Charlie Taylor,Burnley,D/WB LC,29,128,144,England,Burnley,,12,15,12,9,14,11,11,9,10,13,12,5,15,12,10,12,13,11,13,7,12,14,11,8,13,15,14,14,14,11,13,11,17,12,15,13,15,4,13,7,16,2,1,1,3,2,1,3,2,3,2,2,15,15,6,11,15,12,17,10,1,20,17,8,17,1,8,14,1,1,8,1,1,1,181,70,20,7,6400,6400,5000,126,1993/9/18,0,0,14.3,13,13,10,11,12.7,11,13,2.5,13,13,13,1,3,2,1.5
Jack Cork,Burnley,DM/M C,34,128,143,England,Burnley,,8,9,12,10,12,8,12,11,8,12,12,7,14,12,14,13,15,15,14,11,14,18,11,11,12,14,17,19,10,10,12,13,18,10,16,12,15,9,13,6,12,3,2,4,2,2,3,1,1,3,2,3,11,15,6,13,18,18,13,19,1,1,1,8,1,4,20,1,19,10,1,1,1,1,185,69,10,20,6400,6400,5250,127,1989/6/25,1,0,13.3,12.5,10,11.3,12.3,12,12.5,15.2,1,12.5,10,15.2,3,2,2.5,3
Jay Rodriguez,Burnley,AM/S RC,34,123,142,England,Burnley,,6,9,12,13,13,6,13,13,4,10,12,13,10,13,13,13,14,13,12,13,13,14,14,10,14,8,14,14,12,12,11,13,15,12,13,13,14,12,13,15,14,3,1,3,3,1,2,2,3,3,3,2,12,15,8,13,12,16,12,11,1,1,1,1,1,1,1,12,1,12,14,15,16,20,186,70,9,20,6150,6150,4500,122,1989/7/29,1,0,9.3,12.3,12,13,13.3,12.7,13,13.3,2.5,12.3,12,13.3,2,3,2,2
Josh Brownhill,Burnley,M/AM RC,27,132,140,England,Burnley,,14,11,13,9,13,14,9,12,8,12,14,12,13,12,13,13,12,13,13,12,13,10,12,8,14,12,15,16,13,13,12,11,14,12,16,9,13,5,13,6,10,1,3,3,1,4,2,3,2,2,4,1,9,12,1,10,11,11,12,11,1,1,1,10,1,13,15,1,20,17,1,16,13,1,178,69,8,20,6600,6600,5000,128,1995/12/19,0,0,12.3,12.5,12.5,12.7,12,12.7,10,12.7,2.5,12.5,12.5,12.7,3,1,2.5,1.5
Josh Cullen,Burnley,DM/M C,27,131,140,"Republic of Ireland,England",Burnley,,10,11,12,6,13,11,8,7,6,14,15,7,14,12,8,14,15,14,13,13,13,14,9,13,13,14,16,17,12,13,13,9,15,11,17,10,14,7,11,6,10,2,2,2,2,2,3,2,1,1,1,1,7,12,6,11,8,15,13,12,1,1,1,1,1,1,20,1,20,1,1,1,1,1,175,70,9,20,6550,6550,5000,130,1996/4/7,26,0,14,13.3,11.5,12.3,11,12.3,8.5,14.2,1.5,13.3,11.5,14.2,2,2,2,2
Vitinho,Burnley,D/WB/M/AM RL,24,123,140,Brazil,Burnley,,8,10,13,11,11,8,9,7,8,7,12,9,10,11,7,11,10,12,11,10,10,9,13,7,12,8,11,13,14,13,8,7,10,14,13,7,11,8,9,9,17,3,1,1,1,1,1,1,1,2,3,3,11,8,8,7,11,10,10,9,1,18,1,19,18,20,1,17,1,18,16,1,17,10,175,72,10,20,6150,5750,4500,99,1999/7/23,0,0,8.3,10.3,14,11.7,11.7,11.7,8,10.3,1,10.3,14,10.3,1,1,2,2
Dara O'Shea,Burnley,D RC,24,121,140,Republic of Ireland,Burnley,,6,6,7,9,12,5,14,6,10,13,13,6,14,13,15,12,16,11,12,7,11,14,2,14,10,13,13,14,13,11,13,14,12,12,13,13,12,11,12,7,12,1,2,3,3,1,2,1,1,3,1,1,13,10,6,11,12,15,12,11,1,1,20,16,1,1,1,1,1,1,1,1,1,1,188,74,8,20,6050,6250,4000,119,1999/3/4,19,0,13.3,12.5,12.5,7.3,10,10.7,14,13,1,12.5,12.5,13,2.5,3,1,1.5
Darko Churlinov,Burnley,AM RL,23,120,140,North Macedonia,Burnley,,6,11,14,11,12,9,7,10,6,9,12,9,10,13,16,12,12,11,12,13,9,17,16,4,12,8,11,15,14,14,11,8,13,15,12,9,12,11,13,9,18,2,2,2,1,2,3,4,2,3,2,1,18,16,7,7,13,12,10,9,1,10,1,10,12,14,1,15,10,15,20,12,18,10,180,73,10,20,6000,5750,4500,117,2000/7/11,19,4,9,11.5,14.5,13.7,11.3,13,7.5,12.2,3,11.5,14.5,12.2,2,1,2,2
Lyle Foster,Burnley,AM/S L,22,128,138,South Africa,Burnley,,6,7,13,14,13,8,12,11,5,6,11,12,6,13,11,12,11,14,13,12,12,13,13,10,13,6,12,12,14,12,13,14,12,15,10,15,13,5,11,7,9,3,1,2,1,2,2,3,2,3,1,3,11,14,1,14,9,11,12,11,1,1,1,1,1,1,1,1,1,1,17,1,1,20,185,75,12,20,6400,6400,5000,128,2000/9/3,12,4,6,12.5,14.5,12,13.7,13,13,12.2,2.5,12.5,14.5,12.2,1.5,1,2.5,2.5
Michael Obafemi,Burnley,S ,23,119,138,"Republic of Ireland,England,Nigeria",Burnley,,7,7,12,13,11,7,8,10,7,5,9,11,7,12,12,13,11,12,11,10,12,12,12,8,14,6,11,15,17,15,14,6,14,16,14,11,8,5,11,14,9,1,2,2,3,3,1,1,1,3,2,2,8,12,16,7,10,7,8,8,1,1,1,1,1,1,1,1,1,1,1,5,12,20,171,78,9,20,5950,5950,3500,116,2000/7/6,11,2,6,13.5,16.5,10.3,13,11.7,7,11.7,1,13.5,16.5,11.7,2,3,2,1.5
Manuel Benson,Burnley,M/AM/S RL,26,130,135,"Belgium,Angola",Burnley,,13,13,15,11,13,11,4,14,6,4,12,12,4,14,9,11,14,10,12,10,12,12,12,5,8,5,10,10,15,13,6,6,15,16,11,8,12,15,7,12,14,1,1,3,3,1,3,1,3,2,3,2,7,14,8,11,10,11,13,13,1,1,1,1,1,1,1,18,1,16,18,14,20,18,169,65,20,10,6500,5900,5000,115,1997/3/28,0,0,4.3,9.5,15.5,11.3,9.7,14,5,11.8,2,9.5,15.5,11.8,2,3,1,2.5
Connor Roberts,Burnley,D/WB R,27,130,132,Wales,Burnley,,13,12,8,9,12,11,10,8,18,12,12,5,13,11,14,12,13,11,14,11,11,18,11,10,14,12,16,16,12,13,11,9,19,12,18,9,12,10,16,2,15,3,3,4,3,3,3,3,2,1,1,1,11,12,13,16,12,19,6,5,1,14,14,20,12,20,1,1,1,14,1,1,8,1,175,71,9,20,6500,7000,5000,122,1995/9/23,48,3,12.3,12.8,12,11.3,11.3,10.3,9.5,14,2.5,12.8,12,14,3.5,3,3,2
Jacob Bruun Larsen,Burnley,AM RL,24,127,138,Denmark,TSG 1899 Hoffenheim,Burnley,12,10,13,10,12,14,8,10,10,8,12,11,8,12,7,12,10,11,9,12,10,11,12,6,15,9,15,16,15,13,10,10,11,15,12,10,10,2,11,12,18,1,3,1,1,2,1,3,1,3,2,3,12,14,5,12,10,13,16,17,1,10,1,10,12,12,1,15,10,15,20,12,18,12,183,75,13,20,6350,6250,5000,124,36057,6,1,8.333333333,11.25,15,12,12,12.33333333,9,11.16666667,2,11.25,15,11.16666667,2,1,1.5,2
Mike Trésor,Burnley,AM LC,24,127,134,"Belgium,Burundi",Koninklijke Racing Club Genk,Burnley,13,15,14,13,13,14,9,11,6,7,13,14,7,14,9,12,15,13,13,13,13,13,14,9,13,12,13,12,14,14,11,9,12,14,13,12,13,8,13,7,11,2,1,1,1,1,1,1,3,3,2,2,13,15,4,12,8,8,7,8,1,1,1,1,1,1,1,1,1,1,15,20,9,12,172,67,8,20,6000,6000,4750,128,36308,2,0,8.666666667,12.5,14,13.33333333,13,13.66666667,9,13.16666667,2,12.5,14,13.16666667,1,1,1.5,1.5
Moisés Caicedo,Chelsea,DM/M C,21,156,185,Ecuador,Chelsea,,5,8,14,11,14,8,9,12,4,13,15,8,18,14,13,14,15,15,15,14,15,14,14,9,13,15,15,16,16,16,12,9,18,14,16,12,14,8,12,6,10,3,3,2,1,3,4,1,1,3,1,3,14,14,8,11,10,14,11,11,1,1,1,1,1,1,19,1,20,1,1,1,1,1,178,73,8,20,7800,7800,6250,152,2001/11/2,32,3,15.3,14,15,14.3,13,14,9,14.7,1,14,15,14.7,2.5,1,3,3.5
Raheem Sterling,Chelsea,M/AM RL,28,161,180,"England,Jamaica",Chelsea,,8,13,15,13,13,10,12,12,5,7,13,12,8,13,12,18,11,12,13,13,13,13,14,12,20,9,14,15,17,18,14,8,20,15,18,12,14,4,13,2,14,2,2,1,3,3,2,2,1,2,2,3,18,16,12,8,11,17,10,14,1,1,1,1,1,1,1,16,1,17,20,12,20,12,172,70,8,20,8050,8050,7750,157,1994/12/8,82,20,8,15.5,16,13.3,15,13.7,10,13.7,1.5,15.5,16,13.7,1.5,3,2.5,2.5
Wesley Fofana,Chelsea,D C,22,151,180,"France,Mali,Ivory Coast",Chelsea,,9,6,12,7,12,10,16,5,9,15,12,8,15,14,12,14,13,14,13,12,12,16,10,10,12,15,13,13,15,13,10,16,16,16,15,15,15,10,15,15,8,2,1,1,1,3,3,3,1,3,3,1,14,16,13,8,12,11,11,12,1,1,20,12,1,1,1,1,1,1,1,1,1,1,186,85,10,20,7700,7250,6000,148,2000/12/17,1,0,15,13.3,15.5,11.3,11,12.7,16,13.5,2,13.3,15.5,13.5,1,1,2.5,2
Roméo Lavia,Chelsea,DM/M C,19,134,180,"Belgium,Ghana",Chelsea,,5,7,13,8,14,11,7,11,5,10,14,5,14,14,15,14,12,13,12,14,13,16,14,12,13,14,16,16,14,14,12,9,14,14,14,13,12,6,13,7,11,2,3,2,1,3,1,3,1,3,2,1,14,18,7,8,13,14,14,15,1,1,1,1,1,1,20,1,18,1,1,12,1,1,181,75,9,20,7250,6700,5850,135,2004/1/6,0,0,12.7,13.3,14,14,11.3,13.7,8,13.8,2,13.3,14,13.8,2.5,1,2.5,1
Enzo Fernández,Chelsea,DM/M C,22,158,174,Argentina,Chelsea,,12,12,13,12,15,9,7,16,8,10,16,14,14,16,15,14,13,14,13,17,14,15,14,12,17,13,15,14,12,14,16,10,17,12,16,13,16,10,13,4,13,3,2,2,3,3,3,3,4,1,3,1,18,18,15,2,17,5,13,12,1,1,1,1,1,1,18,1,20,1,1,15,1,1,178,70,12,20,7900,7900,6500,157,2001/1/17,13,2,12.3,14.8,12,15.7,14.3,14.7,8.5,14,3.5,14.8,12,14,2,3,3,2
Thiago Silva,Chelsea,D C,38,156,174,"Brazil,France",Chelsea,,4,5,9,7,14,8,17,7,7,17,13,13,16,13,17,16,15,20,17,13,16,15,8,19,8,19,15,14,10,10,16,13,14,8,14,13,15,7,13,11,8,3,1,3,1,3,2,3,1,3,2,3,13,17,6,15,11,20,18,15,1,1,20,1,1,1,1,1,1,1,1,1,1,1,181,81,8,20,7800,8250,7500,156,1984/9/22,113,7,17.3,13.3,9,11.3,11.7,12,15,15.7,2,13.3,9,15.7,2,1,3,2.5
Christopher Nkunku,Chelsea,AM/S RLC,25,162,172,"France,Democratic Republic of Congo",Chelsea,,15,12,16,14,15,16,12,14,5,8,15,15,8,16,14,16,12,16,12,15,13,15,17,8,17,8,12,12,15,16,12,10,13,16,14,12,16,11,16,9,18,3,3,3,1,3,3,2,1,3,1,2,13,17,8,12,15,13,12,12,1,1,1,8,8,10,1,10,15,10,15,20,15,18,178,68,12,20,8100,6500,7100,158,1997/11/14,10,0,8,13.5,15.5,15.7,15.7,15.7,11,13.3,1.5,13.5,15.5,13.3,3,1,3,2.5
Reece James,Chelsea,D/WB RC,23,161,170,England,Chelsea,,13,16,11,12,14,14,14,11,9,13,12,12,14,15,16,13,18,16,14,11,16,17,12,13,12,13,15,16,15,12,19,10,14,14,14,18,16,10,15,5,13,3,1,2,2,2,3,1,1,1,3,3,14,17,4,11,16,19,15,12,1,10,16,20,10,19,14,1,12,12,1,1,1,1,179,91,10,20,8100,8050,7000,158,1999/12/8,16,0,13.3,15.8,14.5,11.7,13.3,13.3,12,15.5,1,15.8,14.5,15.5,1.5,2,2.5,3
Mykhaylo Mudryk,Chelsea,AM RLC,22,143,170,Ukraine,Chelsea,,11,13,15,12,12,11,5,10,5,7,13,13,5,13,6,9,12,11,11,13,11,16,16,8,11,11,11,14,17,16,12,6,10,18,12,15,12,5,14,10,10,2,2,2,1,3,2,1,2,3,2,1,11,13,12,20,9,19,12,5,1,1,1,1,1,1,1,15,1,1,20,15,15,1,175,61,9,20,7350,8000,6500,137,2001/1/5,11,0,7.7,13.8,17.5,14,11.3,13.3,5.5,11.7,1.5,13.8,17.5,11.7,2,1,2.5,1.5
